id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AA,1,S2_BasicEmergency,00001,Completed,2024-10-22 14:2:22.196
1,AA,1,S2_BasicEmergency,S2001,Completed,2024-10-22 14:5:8.264
2,AA,1,S2_BasicEmergency,S2002,Completed,2024-10-22 14:5:20.747
3,AA,1,S2_BasicEmergency,S2003,Completed,2024-10-22 14:5:56.206
4,AA,1,S2_BasicEmergency,S2004,Completed,2024-10-22 14:7:32.192
5,AA,1,S2_BasicEmergency,S2005,Completed,2024-10-22 14:8:9.816
6,AA,1,S2_BasicEmergency,S2006,Completed,2024-10-22 14:8:29.541
7,AA,1,S2_BasicEmergency,S2007,Completed,2024-10-22 14:8:50.817
8,AA,1,S2_BasicEmergency,S2008,Completed,2024-10-22 14:9:17.537
9,AA,1,S2_BasicEmergency,S2009,Completed,2024-10-22 14:10:59.161
10,AA,1,S2_BasicEmergency,00002,Completed,2024-10-22 14:11:27.217
