id,user_id,tip_type,event_datetime
0,"0","Tip_30Min","2024-2-2 11:8:27"
1,"0","Tip_Zonificar","2024-2-2 11:8:38"
2,"0","Tip_EmergenciaRadiologica","2024-2-2 11:8:56"
3,"0","Tip_EvitarAcceso","2024-2-2 11:9:11"
4,"0","Tip_MinExposicion","2024-2-2 11:9:22"
5,"0","Tip_Walkie","2024-2-2 11:9:39"
6,"0","Tip_EPD","2024-2-2 11:9:56"
7,"0","Tip_ConoTrafico","2024-2-2 11:10:6"
8,"0","Tip_Distancia","2024-2-2 11:10:15"
9,"0","Tip_Sanitarios","2024-2-2 11:10:28"
10,"0","Tip_RBQ","2024-2-2 11:10:39"
11,"0","Tip_SinEquipo","2024-2-2 11:11:0"
12,"0","Tip_Fuentes","2024-2-2 11:11:10"
13,"0","Tip_Pinzas","2024-2-2 11:11:21"
14,"0","Tip_30Min","2024-2-2 11:11:33"
15,"2","Tip_Distancia","2024-2-2 12:24:22"
16,"2","Tip_SinEquipo","2024-2-2 12:24:49"
17,"2","Tip_RBQ","2024-2-2 12:25:11"
18,"2","Tip_Walkie","2024-2-2 12:25:24"
19,"2","Tip_Pinzas","2024-2-2 12:25:41"
20,"2","Tip_Fuentes","2024-2-2 12:25:57"
21,"2","Tip_ConoTrafico","2024-2-2 12:26:9"
22,"2","Tip_Sanitarios","2024-2-2 12:26:20"
23,"2","Tip_MinExposicion","2024-2-2 12:26:28"
24,"2","Tip_30Min","2024-2-2 12:26:36"
25,"2","Tip_Zonificar","2024-2-2 12:26:43"
26,"2","Tip_EPD","2024-2-2 12:26:56"
27,"2","Tip_EmergenciaRadiologica","2024-2-2 12:27:6"
28,"2","Tip_EvitarAcceso","2024-2-2 12:27:26"
29,"2","Tip_Distancia","2024-2-2 12:27:31"
30,"2","Tip_SinEquipo","2024-2-2 12:27:34"
31,"2","Tip_RBQ","2024-2-2 12:27:36"
32,"5","Tip_ConoTrafico","2024-2-5 12:14:47"
33,"5","Tip_EPD","2024-2-5 12:15:0"
34,"5","Tip_Sanitarios","2024-2-5 12:15:7"
35,"5","Tip_Walkie","2024-2-5 12:15:20"
36,"5","Tip_SinEquipo","2024-2-5 12:15:28"
37,"5","Tip_Fuentes","2024-2-5 12:15:37"
38,"5","Tip_Pinzas","2024-2-5 12:15:49"
39,"5","Tip_RBQ","2024-2-5 12:15:57"
40,"5","Tip_EvitarAcceso","2024-2-5 12:16:8"
41,"5","Tip_EmergenciaRadiologica","2024-2-5 12:16:13"
42,"5","Tip_MinExposicion","2024-2-5 12:16:27"
43,"5","Tip_Distancia","2024-2-5 12:16:32"
44,"5","Tip_30Min","2024-2-5 12:16:41"
45,"5","Tip_Zonificar","2024-2-5 12:16:46"
46,"6","Tip_Pinzas","2024-2-5 12:38:43"
47,"6","Tip_Fuentes","2024-2-5 12:39:1"
48,"6","Tip_EmergenciaRadiologica","2024-2-5 12:39:2"
49,"6","Tip_RBQ","2024-2-5 12:39:16"
50,"6","Tip_Zonificar","2024-2-5 12:39:19"
51,"6","Tip_30Min","2024-2-5 12:39:21"
52,"6","Tip_MinExposicion","2024-2-5 12:39:22"
53,"6","Tip_Distancia","2024-2-5 12:39:24"
54,"6","Tip_EPD","2024-2-5 12:39:26"
55,"6","Tip_ConoTrafico","2024-2-5 12:39:27"
56,"6","Tip_Walkie","2024-2-5 12:39:28"
57,"6","Tip_Sanitarios","2024-2-5 12:39:29"
58,"6","Tip_SinEquipo","2024-2-5 12:39:32"
59,"6","Tip_EvitarAcceso","2024-2-5 12:39:34"
60,"6","Tip_Pinzas","2024-2-5 12:39:36"
61,"6","Tip_Fuentes","2024-2-5 12:39:37"
62,"6","Tip_EmergenciaRadiologica","2024-2-5 12:39:52"
63,"6","Tip_RBQ","2024-2-5 12:40:7"
64,"6","Tip_Zonificar","2024-2-5 12:40:25"
65,"6","Tip_30Min","2024-2-5 12:40:51"
66,"6","Tip_MinExposicion","2024-2-5 12:41:2"
67,"6","Tip_Distancia","2024-2-5 12:41:13"
68,"6","Tip_EPD","2024-2-5 12:41:20"
69,"6","Tip_ConoTrafico","2024-2-5 12:41:27"
70,"6","Tip_Walkie","2024-2-5 12:41:34"
71,"6","Tip_Sanitarios","2024-2-5 12:41:44"
72,"6","Tip_SinEquipo","2024-2-5 12:41:53"
73,"6","Tip_EvitarAcceso","2024-2-5 12:42:4"
74,"6","Tip_Pinzas","2024-2-5 12:42:10"
75,"6","Tip_Fuentes","2024-2-5 12:42:12"
76,"6","Tip_EmergenciaRadiologica","2024-2-5 12:42:14"
77,"6","Tip_RBQ","2024-2-5 12:42:16"
78,"6","Tip_Zonificar","2024-2-5 12:42:18"
79,"6","Tip_30Min","2024-2-5 12:42:19"
80,"6","Tip_MinExposicion","2024-2-5 12:42:21"
