id,user_id,scenario_type,event_state,event_type,event_datetime
0,"0","S1_BasicMechanics","Completed","Start","2024-3-14 14:46:28.491"
1,"0","S1_BasicMechanics","Started","S1_Introduction","2024-3-14 14:46:31.315"
2,"0","S1_BasicMechanics","Completed","S1_Introduction","2024-3-14 14:47:17.169"
3,"0","S1_BasicMechanics","Started","S1_Movement","2024-3-14 14:47:17.169"
4,"0","S1_BasicMechanics","Completed","S1_Movement","2024-3-14 14:48:3.677"
5,"0","S1_BasicMechanics","Started","S1_Detection","2024-3-14 14:48:9.313"
6,"0","S1_BasicMechanics","Completed","S1_Detection","2024-3-14 14:48:44.37"
7,"0","S1_BasicMechanics","Started","S1_Grab&Release","2024-3-14 14:48:44.37"
8,"0","S1_BasicMechanics","Completed","S1_Grab&Release","2024-3-14 14:49:23.151"
9,"0","S1_BasicMechanics","Started","S1_PlayerCanLeaveSmallRoom","2024-3-14 14:49:23.151"
10,"0","S1_BasicMechanics","Completed","S1_PlayerCanLeaveSmallRoom","2024-3-14 14:49:50.809"
11,"0","S1_BasicMechanics","Started","S1_TuddyOnHand","2024-3-14 14:49:50.809"
12,"0","S1_BasicMechanics","Completed","S1_TuddyOnHand","2024-3-14 14:50:13.849"
13,"0","S1_BasicMechanics","Started","S1_TalkToNPC","2024-3-14 14:50:13.849"
14,"0","S1_BasicMechanics","Completed","S1_TalkToNPC","2024-3-14 14:51:0.143"
15,"0","S1_BasicMechanics","Started","S1_TidyUp","2024-3-14 14:51:0.143"
16,"0","S1_BasicMechanics","Completed","S1_TidyUp","2024-3-14 14:53:28.60"
17,"0","S1_BasicMechanics","Started","S1_InformToNPC","2024-3-14 14:53:28.60"
18,"0","S1_BasicMechanics","Completed","S1_InformToNPC","2024-3-14 14:53:51.468"
19,"0","S1_BasicMechanics","Started","S1_FinalConversation","2024-3-14 14:53:51.469"
