id,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime
0,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:52:50.5
1,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:52:50.575
2,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:52:51.232
3,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:52:51.682
4,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:52:53.538
5,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:52:55.704
6,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,started,Right,2024-10-22 13:52:56.751
7,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:52:56.881
8,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,started,Right,2024-10-22 13:52:57.214
9,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:52:57.371
10,AA,1,S1_BasicMechanics,IA_Menu_Toggle_Right,started,Right,2024-10-22 13:53:24.210
11,AA,1,S1_BasicMechanics,IA_Menu_Toggle_Right,completed,Right,2024-10-22 13:53:24.520
12,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,started,Right,2024-10-22 13:53:26.39
13,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:53:26.180
14,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,started,Right,2024-10-22 13:53:26.593
15,AA,1,S1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,2024-10-22 13:53:26.729
16,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:27.802
17,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:29.187
18,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:29.774
19,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:29.924
20,AA,1,S1_BasicMechanics,IA_Grab_Left,started,Left,2024-10-22 13:53:30.789
21,AA,1,S1_BasicMechanics,IA_Grab_Left,completed,Left,2024-10-22 13:53:31.75
22,AA,1,S1_BasicMechanics,IA_Grab_Left,started,Left,2024-10-22 13:53:31.204
23,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:32.463
24,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:32.989
25,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:33.763
26,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:33.917
27,AA,1,S1_BasicMechanics,IA_Grab_Left,completed,Left,2024-10-22 13:53:34.791
28,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:36.39
29,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:36.272
30,AA,1,S1_BasicMechanics,IA_Grab_Left,started,Left,2024-10-22 13:53:37.400
31,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:38.511
32,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:38.924
33,AA,1,S1_BasicMechanics,IA_Grab_Left,completed,Left,2024-10-22 13:53:39.958
34,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:41.33
35,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:41.609
36,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:42.284
37,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:42.441
38,AA,1,S1_BasicMechanics,IA_Grab_Right,started,Right,2024-10-22 13:53:44.316
39,AA,1,S1_BasicMechanics,IA_Grab_Left,started,Left,2024-10-22 13:53:44.743
40,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:46.517
41,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:47.146
42,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:47.813
43,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:47.946
44,AA,1,S1_BasicMechanics,IA_Grab_Right,completed,Right,2024-10-22 13:53:48.832
45,AA,1,S1_BasicMechanics,IA_Grab_Left,completed,Left,2024-10-22 13:53:50.17
46,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:51.569
47,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:53.482
48,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:53.927
49,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:54.159
50,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:54.750
51,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:55.32
52,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:58.320
53,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:58.702
54,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:58.779
55,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:53:58.934
56,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:53:59.622
57,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:54:0.205
58,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:54:1.57
59,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:54:1.160
60,AA,1,S1_BasicMechanics,IA_Grab_Right,started,Right,2024-10-22 13:54:2.758
61,AA,1,S1_BasicMechanics,IA_Grab_Right,completed,Right,2024-10-22 13:54:3.0
62,AA,1,S1_BasicMechanics,IA_Grab_Right,started,Right,2024-10-22 13:54:3.247
63,AA,1,S1_BasicMechanics,IA_Grab_Left,started,Left,2024-10-22 13:54:7.295
64,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:54:8.355
65,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:54:8.485
66,AA,1,S1_BasicMechanics,IA_Grab_Left,completed,Left,2024-10-22 13:54:10.499
67,AA,1,S1_BasicMechanics,IA_Move_Right,started,Right,2024-10-22 13:54:11.225
68,AA,1,S1_BasicMechanics,IA_Move_Right,completed,Right,2024-10-22 13:54:11.614
69,AA,1,S1_BasicMechanics,IA_Grab_Right,completed,Right,2024-10-22 13:54:12.997
