,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,AA,1,T1,MOV_VirtualWorld,started,2024-10-22 13:48:20.746
1,AA,1,T1,OI_Detection,started,2024-10-22 13:49:8.447
2,AA,1,T1,OI_GrabRelease,started,2024-10-22 13:49:48.952
3,AA,1,T1,OI_Placement,started,2024-10-22 13:50:27.117
4,AA,1,T1,CI_Conversation,started,2024-10-22 13:51:6.884
5,AA,1,T2,RBQ_Functionality,started,2024-10-22 13:56:25.787
6,AA,1,T2,OI_WalkieTalkie,started,2024-10-22 13:57:41.898
7,AA,1,T2,OI_SABG100,started,2024-10-22 13:59:11.380
8,AA,1,T2,OI_EPD,started,2024-10-22 14:0:2.494
9,AA,1,T2,HP_Functionality,started,2024-10-22 14:0:56.194
