id,user_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"ALE","T1_BasicMechanics","MOV_VirtualWorld","started","2024-10-21 16:41:2.725"
1,"ALE","T1_BasicMechanics","MOV_VirtualWorld","completed","2024-10-21 16:41:6.870"
2,"ALE","T1_BasicMechanics","OI_Detection","started","2024-10-21 16:41:13.442"
3,"ALE","T1_BasicMechanics","OI_Detection","completed","2024-10-21 16:41:19.835"
4,"ALE","T1_BasicMechanics","OI_GrabRelease","started","2024-10-21 16:41:26.10"
5,"ALE","T1_BasicMechanics","OI_GrabRelease","completed","2024-10-21 16:41:34.107"
6,"ALE","T1_BasicMechanics","OI_Placement","started","2024-10-21 16:41:41.150"
7,"ALE","T1_BasicMechanics","OI_Placement","completed","2024-10-21 16:41:53.590"
8,"ALE","T1_BasicMechanics","CI_Conversation","started","2024-10-21 16:42:0.899"
9,"ALE","T1_BasicMechanics","CI_Conversation","completed","2024-10-21 16:42:11.109"
