id,user_id,scenario_type,actor_id,actor_name
0,"AA","T2_BasicEmergency","1","PickableItem_1"
1,"AA","T2_BasicEmergency","1","PickableItem_2"
2,"AA","T2_BasicEmergency","1","PickableItem_3"
3,"AA","T2_BasicEmergency","1","PickableItem_4"
4,"AA","T2_BasicEmergency","1","PickableItem_5"
5,"AA","T2_BasicEmergency","1","PickableItem_6"
6,"AA","T2_BasicEmergency","3","Dosimeter_SABG100_1"
7,"AA","T2_BasicEmergency","3","Dosimeter_SABG100_2"
8,"AA","T2_BasicEmergency","3","Dosimeter_SABG100_3"
9,"AA","T2_BasicEmergency","4","Dosimeter_EPD_1"
10,"AA","T2_BasicEmergency","4","Dosimeter_EPD_2"
11,"AA","T2_BasicEmergency","4","Dosimeter_EPD_3"
12,"AA","T2_BasicEmergency","5","WalkieTalkie_1"
13,"AA","T2_BasicEmergency","11","RadiationEmissionPoint_1"
14,"AA","T2_BasicEmergency","11","RadiationEmissionPoint_2"
