id,user_id,scenario_type,actor_id,actor_name
0,"AB","T2_BasicEmergency","1","PickableItem_5"
1,"AB","T2_BasicEmergency","1","PickableItem_6"
2,"AB","T2_BasicEmergency","1","PickableItem_1"
3,"AB","T2_BasicEmergency","1","PickableItem_2"
4,"AB","T2_BasicEmergency","1","PickableItem_3"
5,"AB","T2_BasicEmergency","1","PickableItem_4"
6,"AB","T2_BasicEmergency","4","Dosimeter_EPD_1"
7,"AB","T2_BasicEmergency","4","Dosimeter_EPD_2"
8,"AB","T2_BasicEmergency","4","Dosimeter_EPD_3"
9,"AB","T2_BasicEmergency","3","Dosimeter_SABG100_1"
10,"AB","T2_BasicEmergency","3","Dosimeter_SABG100_2"
11,"AB","T2_BasicEmergency","3","Dosimeter_SABG100_3"
12,"AB","T2_BasicEmergency","11","RadiationEmissionPoint_1"
13,"AB","T2_BasicEmergency","11","RadiationEmissionPoint_2"
14,"AB","T2_BasicEmergency","5","WalkieTalkie_1"
