id,user_id,scenario_type,input_type,input_state,event_datetime
0,"AA","T1_BasicMechanics","IA_Grab_Left","started","2024-10-22 13:47:27.663"
1,"AA","T1_BasicMechanics","IA_Grab_Left","completed","2024-10-22 13:47:27.747"
2,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:32.276"
3,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:32.427"
4,"AA","T1_BasicMechanics","IA_Menu_Interact_Left","started","2024-10-22 13:47:32.620"
5,"AA","T1_BasicMechanics","IA_Menu_Interact_Left","completed","2024-10-22 13:47:32.745"
6,"AA","T1_BasicMechanics","IA_Grab_Left","started","2024-10-22 13:47:32.856"
7,"AA","T1_BasicMechanics","IA_Menu_Interact_Left","started","2024-10-22 13:47:32.898"
8,"AA","T1_BasicMechanics","IA_Grab_Right","started","2024-10-22 13:47:32.906"
9,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:32.925"
10,"AA","T1_BasicMechanics","IA_Grab_Left","completed","2024-10-22 13:47:33.243"
11,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:33.271"
12,"AA","T1_BasicMechanics","IA_Grab_Right","completed","2024-10-22 13:47:33.287"
13,"AA","T1_BasicMechanics","IA_Menu_Interact_Left","completed","2024-10-22 13:47:33.296"
14,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:37.869"
15,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:37.953"
16,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:39.744"
17,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:39.841"
18,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:40.966"
19,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:41.78"
20,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:41.550"
21,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:42.118"
22,"AA","T1_BasicMechanics","IA_Grab_Right","started","2024-10-22 13:47:42.647"
23,"AA","T1_BasicMechanics","IA_Grab_Right","completed","2024-10-22 13:47:42.896"
24,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:47:43.341"
25,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:47:43.493"
26,"AA","T1_BasicMechanics","IA_Move_Left","started","2024-10-22 13:47:44.231"
27,"AA","T1_BasicMechanics","IA_Move_Left","completed","2024-10-22 13:47:44.438"
28,"AA","T1_BasicMechanics","IA_Move_Left","started","2024-10-22 13:47:45.34"
29,"AA","T1_BasicMechanics","IA_Move_Left","completed","2024-10-22 13:47:45.660"
30,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:47:46.244"
31,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:47:46.438"
32,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:47:47.22"
33,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:47:47.161"
34,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:47:47.189"
35,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:47:47.383"
36,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:48:20.582"
37,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:48:20.735"
38,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:48:39.560"
39,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:48:39.671"
40,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:42.504"
41,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:42.864"
42,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:43.422"
43,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:43.995"
44,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:44.437"
45,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:44.852"
46,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:45.462"
47,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:45.878"
48,"AA","T1_BasicMechanics","IA_Move_Left","started","2024-10-22 13:48:46.712"
49,"AA","T1_BasicMechanics","IA_Move_Left","completed","2024-10-22 13:48:47.128"
50,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:49.519"
51,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:51.478"
52,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:52.379"
53,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:53.640"
54,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:48:55.395"
55,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:48:55.557"
56,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:49:7.550"
57,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:49:7.661"
58,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:49:8.313"
59,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:49:8.437"
60,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:49:9.286"
61,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:49:9.631"
62,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","started","2024-10-22 13:49:24.237"
63,"AA","T1_BasicMechanics","IA_Menu_Interact_Right","completed","2024-10-22 13:49:24.306"
64,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:49:25.905"
65,"AA","T1_BasicMechanics","IA_Move_Right","completed","2024-10-22 13:49:26.124"
66,"AA","T1_BasicMechanics","IA_Move_Right","started","2024-10-22 13:49:30.725"
